iso3,country,hdi_2020,Ranking HDI 2020,ISO_Code,Countries,Economic Freedom Summary Index,Ranking Economic Freedom
NOR,Norway,0.959,1.0,NOR,Norway,7.58,32.0
ISL,Iceland,0.957,2.0,ISL,Iceland,7.73,20.0
CHE,Switzerland,0.956,3.0,CHE,Switzerland,8.37,3.0
HKG,"Hong Kong, China (SAR)",0.949,4.0,HKG,"Hong Kong SAR, China",8.59,1.0
DNK,Denmark,0.947,5.0,DNK,Denmark,8.09,5.0
AUS,Australia,0.947,5.0,AUS,Australia,8.04,6.0
DEU,Germany,0.944,7.0,DEU,Germany,7.65,25.0
IRL,Ireland,0.943,8.0,IRL,Ireland,7.86,10.0
SWE,Sweden,0.942,9.0,SWE,Sweden,7.56,33.0
SGP,Singapore,0.939,10.0,SGP,Singapore,8.48,2.0
NLD,Netherlands,0.939,10.0,NLD,Netherlands,7.75,17.0
FIN,Finland,0.938,12.0,FIN,Finland,7.64,26.0
NZL,New Zealand,0.936,13.0,NZL,New Zealand,8.27,4.0
CAN,Canada,0.931,15.0,CAN,Canada,7.81,14.0
BEL,Belgium,0.928,16.0,BEL,Belgium,7.37,46.0
LUX,Luxembourg,0.924,17.0,LUX,Luxembourg,7.54,36.0
GBR,United Kingdom,0.924,17.0,GBR,United Kingdom,7.71,22.0
JPN,Japan,0.923,19.0,JPN,Japan,7.82,12.0
KOR,Korea (Republic of),0.922,20.0,KOR,"Korea, Rep.",7.42,43.0
USA,United States,0.92,21.0,USA,United States,7.97,7.0
ISR,Israel,0.917,22.0,ISR,Israel,7.35,49.0
AUT,Austria,0.913,23.0,AUT,Austria,7.56,33.0
SVN,Slovenia,0.913,23.0,SVN,Slovenia,7.0,75.0
ARE,United Arab Emirates,0.912,25.0,ARE,UnitedArabEmirates,7.35,49.0
MLT,Malta,0.911,26.0,MLT,Malta,7.72,21.0
ESP,Spain,0.899,27.0,ESP,Spain,7.63,28.0
FRA,France,0.898,28.0,FRA,France,7.33,54.0
CYP,Cyprus,0.894,29.0,CYP,Cyprus,7.49,38.0
EST,Estonia,0.892,30.0,EST,Estonia,7.95,8.0
CZE,Czechia,0.892,30.0,CZE,Czech Republic,7.75,17.0
ITA,Italy,0.889,32.0,ITA,Italy,7.4,44.0
GRC,Greece,0.886,33.0,GRC,Greece,6.81,85.0
LTU,Lithuania,0.879,34.0,LTU,Lithuania,7.82,12.0
BHR,Bahrain,0.877,35.0,BHR,Bahrain,7.47,39.0
POL,Poland,0.876,36.0,POL,Poland,6.93,80.0
LVA,Latvia,0.871,37.0,LVA,Latvia,7.77,16.0
SAU,Saudi Arabia,0.87,38.0,SAU,Saudi Arabia,6.78,86.0
PRT,Portugal,0.863,39.0,PRT,Portugal,7.43,42.0
SVK,Slovakia,0.857,40.0,SVK,Slovak Republic,7.33,54.0
HRV,Croatia,0.855,41.0,HRV,Croatia,7.16,61.0
QAT,Qatar,0.854,42.0,QAT,Qatar,6.99,76.0
CHL,Chile,0.852,43.0,CHL,Chile,7.56,33.0
HUN,Hungary,0.849,44.0,HUN,Hungary,7.24,57.0
ARG,Argentina,0.84,47.0,ARG,Argentina,4.87,161.0
TUR,Turkey,0.833,48.0,TUR,Turkey,6.48,112.0
BRN,Brunei Darussalam,0.83,49.0,BRN,BruneiDarussalam,7.21,59.0
RUS,Russian Federation,0.83,49.0,RUS,Russian Federation,6.62,94.0
OMN,Oman,0.827,51.0,OMN,Oman,6.65,93.0
MNE,Montenegro,0.826,52.0,MNE,Montenegro,7.46,40.0
